# Observation File: observation_column_all.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface flux [mol s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation rain [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation snow [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Functional: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","evaporation [m s^-1]","surface-subsurface flux [mol s^-1]","precipitation rain [m s^-1]","precipitation snow [m s^-1]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m s^-1]","surface temperature [K]","thaw depth [m]","water table depth [m]"
0.000000000000e+00,2.812092358609e+11,0.000000000000e+00,5.214317918320e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.542424784049e+04,2.688002413326e+05,0.000000000000e+00,2.638297370594e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.312112922849e+08,-1.531151200437e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544074363452e+04,2.688002413326e+05,0.000000000000e+00,2.649473416613e+02,0.000000000000e+00,4.000000000000e+01
2.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.408032464294e+08,-1.471099046807e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544660188048e+04,2.688002413326e+05,0.000000000000e+00,2.653832771051e+02,0.000000000000e+00,4.000000000000e+01
3.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.502446606912e+08,-1.386063728093e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544985351821e+04,2.688002413326e+05,0.000000000000e+00,2.656360103467e+02,0.000000000000e+00,4.000000000000e+01
4.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.594068423884e+08,-1.205914444333e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545194060507e+04,2.688002413326e+05,0.000000000000e+00,2.658026991754e+02,0.000000000000e+00,4.000000000000e+01
5.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.680888380498e+08,-8.865841232819e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545355153895e+04,2.688002413326e+05,0.000000000000e+00,2.659338931583e+02,0.000000000000e+00,4.000000000000e+01
6.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.763980458623e+08,-6.385733640430e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545481638903e+04,2.688002413326e+05,0.000000000000e+00,2.660385224664e+02,0.000000000000e+00,4.000000000000e+01
7.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.842669669951e+08,-3.459186528178e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545566203149e+04,2.688002413326e+05,0.000000000000e+00,2.661093112159e+02,0.000000000000e+00,4.000000000000e+01
8.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.915836613278e+08,2.373802986545e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545637369404e+04,2.688002413326e+05,0.000000000000e+00,2.661694047288e+02,0.000000000000e+00,4.000000000000e+01
9.000000000000e+00,2.812092358605e+11,0.000000000000e+00,5.985101825642e+08,2.849417751789e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545699386152e+04,2.688002413326e+05,0.000000000000e+00,2.662221658134e+02,0.000000000000e+00,4.000000000000e+01
